product,product_id,product_status,variant,variant_id,sku,price,tracked,inventory_quantity,inventory_policy,continue_selling_when_out_of_stock,location,fulfillment_service,online_store_published,purchasable_now,sold_out_at_zero,classification,note
MORU フラワーラウンジ,10214219743472,ACTIVE,アイボリー,gid://shopify/ProductVariant/50279721730288,f89ed6c7183ca65547d2c2561819369f,9980,true,5,DENY,no(DENY),Shop location,manual(Shopify既定),true,true,true,A,唯一の在庫追跡商品。在庫を使い切ると DENY で売り切れになる
MORU フラワーラウンジ,10214219743472,ACTIVE,オリーブグリーン,gid://shopify/ProductVariant/50279721763056,476e297375c500bb15ef0aef7f8abb53,9980,true,5,DENY,no(DENY),Shop location,manual(Shopify既定),true,true,true,A,唯一の在庫追跡商品。在庫を使い切ると DENY で売り切れになる
アブストラクト オブジェ,10218008215792,DRAFT,ビッグコンビネーション [稲の耳]-M53,gid://shopify/ProductVariant/50296080564464,75ab49fe91f8127a9d33ca4f6f82f4c4,58980,false,100,DENY,no(DENY),Shop location,manual(Shopify既定),false,false,false(追跡なしのため在庫0でも売れる),D,DRAFT のためオンラインストア未公開。公開すれば購入可能になる
アブストラクト オブジェ,10218008215792,DRAFT,グループコンビネーション [スプリングハーベスト]-O21,gid://shopify/ProductVariant/50296080597232,34036f8d1a6f5bd05389ed4172858aad,22980,false,100,DENY,no(DENY),Shop location,manual(Shopify既定),false,false,false(追跡なしのため在庫0でも売れる),D,DRAFT のためオンラインストア未公開。公開すれば購入可能になる
アブストラクト オブジェ,10218008215792,DRAFT,グループコンビネーション [チンラン]-I56,gid://shopify/ProductVariant/50296080630000,6134b4c23d96e190b34ec02a4d2ae408,22480,false,100,DENY,no(DENY),Shop location,manual(Shopify既定),false,false,false(追跡なしのため在庫0でも売れる),D,DRAFT のためオンラインストア未公開。公開すれば購入可能になる
アブストラクト オブジェ,10218008215792,DRAFT,グループコンビネーション [ムヤン]-R65,gid://shopify/ProductVariant/50296080662768,197b0e8b7d429973acd263d74989b79c,18480,false,103,DENY,no(DENY),Shop location,manual(Shopify既定),false,false,false(追跡なしのため在庫0でも売れる),D,DRAFT のためオンラインストア未公開。公開すれば購入可能になる
アブストラクト オブジェ,10218008215792,DRAFT,コンビネーション [メープル]-O43,gid://shopify/ProductVariant/50296080695536,7aed9956f07f7d6c3d99ab34f4e9d199,44480,false,102,DENY,no(DENY),Shop location,manual(Shopify既定),false,false,false(追跡なしのため在庫0でも売れる),D,DRAFT のためオンラインストア未公開。公開すれば購入可能になる
アブストラクト オブジェ,10218008215792,DRAFT,グループコンビネーション [メープルリーフ]-N48,gid://shopify/ProductVariant/50296080728304,1a96be22bfb7f2f7155463a3fc1a4a2b,30480,false,103,DENY,no(DENY),Shop location,manual(Shopify既定),false,false,false(追跡なしのため在庫0でも売れる),D,DRAFT のためオンラインストア未公開。公開すれば購入可能になる
アブストラクト オブジェ,10218008215792,DRAFT,グループコンビネーション [プレーンスタイル]-O14,gid://shopify/ProductVariant/50296080761072,01aba7397719c00556a65d49ee19e6b4,26980,false,103,DENY,no(DENY),Shop location,manual(Shopify既定),false,false,false(追跡なしのため在庫0でも売れる),D,DRAFT のためオンラインストア未公開。公開すれば購入可能になる
アブストラクト オブジェ,10218008215792,DRAFT,白茶色のセラミックオーナメント1組-M17,gid://shopify/ProductVariant/50296080793840,ec536c2c6e56f150de44b47bcf2a59c2,11980,false,103,DENY,no(DENY),Shop location,manual(Shopify既定),false,false,false(追跡なしのため在庫0でも売れる),D,DRAFT のためオンラインストア未公開。公開すれば購入可能になる
