product,variant,variant_id,current_price,proposed_price,delta
クラウド サイドテーブル,スターライトブラック（1段）,50296062673136,12480,13980,1500
クラウド サイドテーブル,ミルキーホワイト（1段）,50296062705904,12480,13980,1500
クラウド サイドテーブル,ウォールナット（1段）,50296062738672,12480,13980,1500
フェイクファー ブランケット,フェイクファーストライプ-クリームホワイト / 100×150cm,50296059003120,3480,3980,500
フェイクファー ブランケット,フェイクファーストライプ-クリームホワイト / 150×200cm,50296059068656,4480,4980,500
フェイクファー ブランケット,フェイクファーストライプ-クリームホワイト / 180×200cm,50296059101424,4480,4980,500
フェイクファー ブランケット,フェイクファーストライプ-カーキ / 100×150cm,50296059232496,3480,3980,500
フェイクファー ブランケット,フェイクファーストライプ-カーキ / 150×200cm,50296059298032,4480,4980,500
フェイクファー ブランケット,フェイクファーストライプ-カーキ / 180×200cm,50296059330800,4480,4980,500
フェイクファー ブランケット,フェイクファーストライプ-ダークグレー / 100×150cm,50296059461872,3480,3980,500
フェイクファー ブランケット,フェイクファーストライプ-ダークグレー / 150×200cm,50296059527408,4480,4980,500
フェイクファー ブランケット,フェイクファーストライプ-ダークグレー / 180×200cm,50296059560176,4480,4980,500
フェイクファー ブランケット,フェイクファーストライプ-ライトグレー / 100×150cm,50296059691248,3480,3980,500
フェイクファー ブランケット,フェイクファーストライプ-ライトグレー / 150×200cm,50296059756784,4480,4980,500
フェイクファー ブランケット,フェイクファーストライプ-ライトグレー / 180×200cm,50296059789552,4480,4980,500
フェイクファー ブランケット,フェイクファーストライプ-ピンク / 100×150cm,50296059920624,3480,3980,500
フェイクファー ブランケット,フェイクファーストライプ-ピンク / 150×200cm,50296059986160,4480,4980,500
フェイクファー ブランケット,フェイクファーストライプ-ピンク / 180×200cm,50296060018928,4480,4980,500
フェイクファー ブランケット,フェイクファーストライプ-フルーツグリーン / 100×150cm,50296060150000,3480,3980,500
フェイクファー ブランケット,フェイクファーストライプ-フルーツグリーン / 150×200cm,50296060215536,4480,4980,500
フェイクファー ブランケット,フェイクファーストライプ-フルーツグリーン / 180×200cm,50296060248304,4480,4980,500
フェイクファー ブランケット,フェイクファーストライプ-キャラメル / 100×150cm,50296060379376,3480,3980,500
フェイクファー ブランケット,フェイクファーストライプ-キャラメル / 150×200cm,50296060444912,4480,4980,500
フェイクファー ブランケット,フェイクファーストライプ-キャラメル / 180×200cm,50296060477680,4480,4980,500
フェイクファー ブランケット,フェイクファーストライプ-ブルー / 100×150cm,50296060608752,3480,3980,500
