product,product_id,status,tier,cat,variant,sku,price,price_10,price_15,n_variants,n_prices,price_min,price_max,ckb_cost_variant,ckb_cost_product_record,ship_domestic_cn,agent_qc,intl_ship,duty_tax,landed_variant,ship_bucket,ship_est,landed_product_est,mult_ref,cost_basis_usable
MORU フラワーラウンジ,10214219743472,ACTIVE,tier-hero,pet-bed,アイボリー,f89ed6c7183ca65547d2c2561819369f,9980,8982,8483,2,1,9980,9980,未確認,1381,未確認,未確認,未確認,未確認,未確認,中型,1750,3131,3.19,参考可(単一価格)
MORU フラワーラウンジ,10214219743472,ACTIVE,tier-hero,pet-bed,オリーブグリーン,476e297375c500bb15ef0aef7f8abb53,9980,8982,8483,2,1,9980,9980,未確認,1381,未確認,未確認,未確認,未確認,未確認,中型,1750,3131,3.19,参考可(単一価格)
アブストラクト オブジェ,10218008215792,DRAFT,tier-aov,object,ビッグコンビネーション [稲の耳]-M53,75ab49fe91f8127a9d33ca4f6f82f4c4,58980,53082,50133,21,15,4980,58980,未確認,799,未確認,未確認,未確認,未確認,未確認,小物,800,1599,36.89,参考不可(Variant価格が複数)
アブストラクト オブジェ,10218008215792,DRAFT,tier-aov,object,グループコンビネーション [スプリングハーベスト]-O21,34036f8d1a6f5bd05389ed4172858aad,22980,20682,19533,21,15,4980,58980,未確認,799,未確認,未確認,未確認,未確認,未確認,小物,800,1599,14.37,参考不可(Variant価格が複数)
アブストラクト オブジェ,10218008215792,DRAFT,tier-aov,object,グループコンビネーション [チンラン]-I56,6134b4c23d96e190b34ec02a4d2ae408,22480,20232,19108,21,15,4980,58980,未確認,799,未確認,未確認,未確認,未確認,未確認,小物,800,1599,14.06,参考不可(Variant価格が複数)
アブストラクト オブジェ,10218008215792,DRAFT,tier-aov,object,グループコンビネーション [ムヤン]-R65,197b0e8b7d429973acd263d74989b79c,18480,16632,15708,21,15,4980,58980,未確認,799,未確認,未確認,未確認,未確認,未確認,小物,800,1599,11.56,参考不可(Variant価格が複数)
アブストラクト オブジェ,10218008215792,DRAFT,tier-aov,object,コンビネーション [メープル]-O43,7aed9956f07f7d6c3d99ab34f4e9d199,44480,40032,37808,21,15,4980,58980,未確認,799,未確認,未確認,未確認,未確認,未確認,小物,800,1599,27.82,参考不可(Variant価格が複数)
アブストラクト オブジェ,10218008215792,DRAFT,tier-aov,object,グループコンビネーション [メープルリーフ]-N48,1a96be22bfb7f2f7155463a3fc1a4a2b,30480,27432,25908,21,15,4980,58980,未確認,799,未確認,未確認,未確認,未確認,未確認,小物,800,1599,19.06,参考不可(Variant価格が複数)
アブストラクト オブジェ,10218008215792,DRAFT,tier-aov,object,グループコンビネーション [プレーンスタイル]-O14,01aba7397719c00556a65d49ee19e6b4,26980,24282,22933,21,15,4980,58980,未確認,799,未確認,未確認,未確認,未確認,未確認,小物,800,1599,16.87,参考不可(Variant価格が複数)
アブストラクト オブジェ,10218008215792,DRAFT,tier-aov,object,白茶色のセラミックオーナメント1組-M17,ec536c2c6e56f150de44b47bcf2a59c2,11980,10782,10183,21,15,4980,58980,未確認,799,未確認,未確認,未確認,未確認,未確認,小物,800,1599,7.49,参考不可(Variant価格が複数)
