product,status,variant,variant_id,price,bucket,cost_source,landed_est,sale,normal_price,normal_gp_rate,normal_mp5,normal_mp8,best_disc_price,best_disc_gp_rate,best_disc_mp5,best_disc_mp8,worst_price,worst_gp_rate,worst_mp5,worst_mp8,cpa_at_disc,be_roas_at_disc,mult_now
クラウド サイドテーブル,ACTIVE,スターライトブラック（1段）,50296062673136,12480,大型,推定(ckb+ship_est),4064,SALE10,12480,0.674,7342,6968,11232,0.638,6202,5865,10732,0.621,5745,5423,4341,1.81,3.07
クラウド サイドテーブル,ACTIVE,ミルキーホワイト（1段）,50296062705904,12480,大型,推定(ckb+ship_est),4064,SALE10,12480,0.674,7342,6968,11232,0.638,6202,5865,10732,0.621,5745,5423,4341,1.81,3.07
クラウド サイドテーブル,ACTIVE,ウォールナット（1段）,50296062738672,12480,大型,推定(ckb+ship_est),4064,SALE10,12480,0.674,7342,6968,11232,0.638,6202,5865,10732,0.621,5745,5423,4341,1.81,3.07
フェイクファー ブランケット,ACTIVE,フェイクファーストライプ-クリームホワイト / 100×150cm,50296059003120,3480,小物,推定(ckb+ship_est),1124,MB15,3480,0.677,2056,1952,2958,0.62,1579,1490,2458,0.543,1122,1048,1105,1.87,3.1
フェイクファー ブランケット,ACTIVE,フェイクファーストライプ-クリームホワイト / 150×200cm,50296059068656,4480,小物,推定(ckb+ship_est),1349,MB15,4480,0.699,2745,2611,3808,0.646,2131,2017,3308,0.592,1674,1575,1492,1.79,3.32
フェイクファー ブランケット,ACTIVE,フェイクファーストライプ-クリームホワイト / 180×200cm,50296059101424,4480,小物,推定(ckb+ship_est),1424,MB15,4480,0.682,2670,2536,3808,0.626,2056,1942,3308,0.57,1599,1500,1439,1.85,3.15
フェイクファー ブランケット,ACTIVE,フェイクファーストライプ-カーキ / 100×150cm,50296059232496,3480,小物,推定(ckb+ship_est),1124,MB15,3480,0.677,2056,1952,2958,0.62,1579,1490,2458,0.543,1122,1048,1105,1.87,3.1
フェイクファー ブランケット,ACTIVE,フェイクファーストライプ-カーキ / 150×200cm,50296059298032,4480,小物,推定(ckb+ship_est),1349,MB15,4480,0.699,2745,2611,3808,0.646,2131,2017,3308,0.592,1674,1575,1492,1.79,3.32
フェイクファー ブランケット,ACTIVE,フェイクファーストライプ-カーキ / 180×200cm,50296059330800,4480,小物,推定(ckb+ship_est),1424,MB15,4480,0.682,2670,2536,3808,0.626,2056,1942,3308,0.57,1599,1500,1439,1.85,3.15
フェイクファー ブランケット,ACTIVE,フェイクファーストライプ-ダークグレー / 100×150cm,50296059461872,3480,小物,推定(ckb+ship_est),1124,MB15,3480,0.677,2056,1952,2958,0.62,1579,1490,2458,0.543,1122,1048,1105,1.87,3.1
フェイクファー ブランケット,ACTIVE,フェイクファーストライプ-ダークグレー / 150×200cm,50296059527408,4480,小物,推定(ckb+ship_est),1349,MB15,4480,0.699,2745,2611,3808,0.646,2131,2017,3308,0.592,1674,1575,1492,1.79,3.32
フェイクファー ブランケット,ACTIVE,フェイクファーストライプ-ダークグレー / 180×200cm,50296059560176,4480,小物,推定(ckb+ship_est),1424,MB15,4480,0.682,2670,2536,3808,0.626,2056,1942,3308,0.57,1599,1500,1439,1.85,3.15
フェイクファー ブランケット,ACTIVE,フェイクファーストライプ-ライトグレー / 100×150cm,50296059691248,3480,小物,推定(ckb+ship_est),1124,MB15,3480,0.677,2056,1952,2958,0.62,1579,1490,2458,0.543,1122,1048,1105,1.87,3.1
フェイクファー ブランケット,ACTIVE,フェイクファーストライプ-ライトグレー / 150×200cm,50296059756784,4480,小物,推定(ckb+ship_est),1349,MB15,4480,0.699,2745,2611,3808,0.646,2131,2017,3308,0.592,1674,1575,1492,1.79,3.32
フェイクファー ブランケット,ACTIVE,フェイクファーストライプ-ライトグレー / 180×200cm,50296059789552,4480,小物,推定(ckb+ship_est),1424,MB15,4480,0.682,2670,2536,3808,0.626,2056,1942,3308,0.57,1599,1500,1439,1.85,3.15
フェイクファー ブランケット,ACTIVE,フェイクファーストライプ-ピンク / 100×150cm,50296059920624,3480,小物,推定(ckb+ship_est),1124,MB15,3480,0.677,2056,1952,2958,0.62,1579,1490,2458,0.543,1122,1048,1105,1.87,3.1
