product,variant,sku,status,tier,cat,ckb_cost,ship_domestic_cn,agent_qc,intl_ship,duty_tax,ship_est,landed,cost_source,price,mult_now,price_proposed,mult_proposed,通常_売価,通常_粗利額,通常_粗利率,通常_限界利益,通常_BE_ROAS,通常_CPA上限,10%OFF_売価,10%OFF_粗利額,10%OFF_粗利率,10%OFF_限界利益,10%OFF_BE_ROAS,10%OFF_CPA上限,15%OFF_売価,15%OFF_粗利額,15%OFF_粗利率,15%OFF_限界利益,15%OFF_BE_ROAS,15%OFF_CPA上限,判定
MORU フラワーラウンジ,アイボリー,f89ed6c7183ca65547d2c2561819369f,ACTIVE,tier-hero,pet-bed,1381.0,未確認,未確認,未確認,未確認,1750,3131.0,推定(ckb_cost + ship_est),9980,3.19,9480,3.03,9980,6849,68.6%,6490,1.54,4543,8982,5851,65.1%,5528,1.62,3869,8483,5352,63.1%,5047,1.68,3533,OK
MORU フラワーラウンジ,オリーブグリーン,476e297375c500bb15ef0aef7f8abb53,ACTIVE,tier-hero,pet-bed,1381.0,未確認,未確認,未確認,未確認,1750,3131.0,推定(ckb_cost + ship_est),9980,3.19,9480,3.03,9980,6849,68.6%,6490,1.54,4543,8982,5851,65.1%,5528,1.62,3869,8483,5352,63.1%,5047,1.68,3533,OK
アブストラクト オブジェ,ビッグコンビネーション [稲の耳]-M53,75ab49fe91f8127a9d33ca4f6f82f4c4,DRAFT,tier-aov,object,未確認,未確認,未確認,未確認,未確認,800,未確認,原価待ち,58980,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち
アブストラクト オブジェ,グループコンビネーション [スプリングハーベスト]-O21,34036f8d1a6f5bd05389ed4172858aad,DRAFT,tier-aov,object,未確認,未確認,未確認,未確認,未確認,800,未確認,原価待ち,22980,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち
アブストラクト オブジェ,グループコンビネーション [チンラン]-I56,6134b4c23d96e190b34ec02a4d2ae408,DRAFT,tier-aov,object,未確認,未確認,未確認,未確認,未確認,800,未確認,原価待ち,22480,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち
アブストラクト オブジェ,グループコンビネーション [ムヤン]-R65,197b0e8b7d429973acd263d74989b79c,DRAFT,tier-aov,object,未確認,未確認,未確認,未確認,未確認,800,未確認,原価待ち,18480,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち
アブストラクト オブジェ,コンビネーション [メープル]-O43,7aed9956f07f7d6c3d99ab34f4e9d199,DRAFT,tier-aov,object,未確認,未確認,未確認,未確認,未確認,800,未確認,原価待ち,44480,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち
アブストラクト オブジェ,グループコンビネーション [メープルリーフ]-N48,1a96be22bfb7f2f7155463a3fc1a4a2b,DRAFT,tier-aov,object,未確認,未確認,未確認,未確認,未確認,800,未確認,原価待ち,30480,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち
アブストラクト オブジェ,グループコンビネーション [プレーンスタイル]-O14,01aba7397719c00556a65d49ee19e6b4,DRAFT,tier-aov,object,未確認,未確認,未確認,未確認,未確認,800,未確認,原価待ち,26980,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち
アブストラクト オブジェ,白茶色のセラミックオーナメント1組-M17,ec536c2c6e56f150de44b47bcf2a59c2,DRAFT,tier-aov,object,未確認,未確認,未確認,未確認,未確認,800,未確認,原価待ち,11980,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち
