商品,Status,Variant数,分類,CKB原価レンジ,ship_est,推定着地原価,現価格,新通常価格案,SummerSale実売,MB2点,MB3点以上,PAIR15実売,PAIR対象,最悪ケース施策,通常粗利率,通常粗利額,通常限界利益,最悪ケース粗利率,最悪ケース限界利益,判断
MORU フラワーラウンジ,ACTIVE,2,SUMMER_SALE,"¥1,381","¥1,750","¥3,131","¥9,980","¥8,980","¥8,082",—,—,—,—,SummerSale10,65.1%,"¥5,849","¥5,526",61.3%,"¥4,660",OK
クラウド サイドテーブル,ACTIVE,3,SUMMER_SALE,¥564,"¥3,500","¥4,064","¥12,480","¥11,980","¥10,782",—,—,"¥10,183",P-6,PAIR15,66.1%,"¥7,916","¥7,485",60.1%,"¥5,752",OK
クリアシェード テーブルランプ,ACTIVE,3,SUMMER_SALE,"¥1,949","¥1,750","¥3,699","¥11,480","¥10,980","¥9,882",—,—,—,—,SummerSale10,66.3%,"¥7,281","¥6,886",62.6%,"¥5,827",OK
コイル サイドテーブル,ACTIVE,3,SUMMER_SALE,"¥7,521","¥3,500","¥11,021","¥33,480","¥31,980","¥28,782",—,—,—,—,SummerSale10,65.5%,"¥20,959","¥19,808",61.7%,"¥16,725",OK
コーデュロイ フォールディングチェア,ACTIVE,5,SUMMER_SALE,"¥1,999","¥1,750","¥3,749","¥11,480","¥10,980","¥9,882",—,—,—,—,SummerSale10,65.9%,"¥7,231","¥6,836",62.1%,"¥5,777",OK
ジオメトリック ブックスタンド,ACTIVE,2,SUMMER_SALE,"¥1,974 〜 ¥2,224",¥800,"¥2,774 〜 ¥3,024","¥8,480 〜 ¥9,480","¥7,980 〜 ¥8,980","¥7,182 〜 ¥8,082",—,—,—,—,SummerSale10,65.2% 〜 66.3%,"¥5,206 〜 ¥5,956","¥4,919 〜 ¥5,633",61.4%,"¥4,149",OK
セル サイドボード,ACTIVE,4,SUMMER_SALE,"¥7,472 〜 ¥7,971","¥3,500","¥10,972 〜 ¥11,471","¥33,480 〜 ¥34,980","¥31,980 〜 ¥33,480","¥28,782 〜 ¥30,132",—,—,—,—,SummerSale10,65.7%,"¥21,008 〜 ¥22,009","¥19,857 〜 ¥20,804",61.9%,"¥16,774",OK
ツインベル アラームクロック,ACTIVE,1,SUMMER_SALE,¥997,¥800,"¥1,797","¥5,480","¥4,980","¥4,482",—,—,"¥4,233",P-F,PAIR15,63.9%,"¥3,183","¥3,004",57.5%,"¥2,284",OK
デュオ ナイトテーブル,ACTIVE,4,SUMMER_SALE,"¥14,025 〜 ¥31,237","¥3,500","¥17,525 〜 ¥34,737","¥53,480 〜 ¥104,980","¥49,980 〜 ¥99,980","¥44,982 〜 ¥89,982",—,—,—,—,SummerSale10,64.9% 〜 65.3%,"¥32,455 〜 ¥65,243","¥30,656 〜 ¥61,644",61.0%,"¥25,838",OK
ハル ダイニングチェア,ACTIVE,4,SUMMER_SALE,"¥5,372 〜 ¥9,871","¥1,750","¥7,122 〜 ¥11,621","¥21,980 〜 ¥35,480","¥20,980 〜 ¥33,980","¥18,882 〜 ¥30,582",—,—,—,—,SummerSale10,65.8% 〜 66.1%,"¥13,858 〜 ¥22,359","¥13,103 〜 ¥21,136",62.0%,"¥11,080",OK
ビス ダイニングチェア,ACTIVE,9,SUMMER_SALE,"¥5,947 〜 ¥6,697","¥1,750","¥7,697 〜 ¥8,447","¥23,480 〜 ¥25,980","¥22,980 〜 ¥24,980","¥20,682 〜 ¥22,482",—,—,—,—,SummerSale10,66.2% 〜 66.5%,"¥15,283 〜 ¥16,533","¥14,456 〜 ¥15,634",62.4%,"¥12,240",OK
ピボ テーブルランプ,ACTIVE,3,SUMMER_SALE,"¥7,496","¥1,750","¥9,246","¥28,480","¥26,980","¥24,282",—,—,—,—,SummerSale10,65.7%,"¥17,734","¥16,763",61.9%,"¥14,162",OK
フラワー キャットタワー,ACTIVE,2,SUMMER_SALE,"¥6,897","¥3,500","¥10,397","¥31,480","¥29,980","¥26,982",—,—,—,—,SummerSale10,65.3%,"¥19,583","¥18,504",61.5%,"¥15,614",OK
ボア ラウンジチェア,ACTIVE,10,SUMMER_SALE,"¥1,871","¥1,750","¥3,621","¥16,480","¥14,980","¥13,482",—,—,—,—,SummerSale10,75.8%,"¥11,359","¥10,820",73.1%,"¥9,376",OK
マッシュルーム コードレステーブルランプ,ACTIVE,7,SUMMER_SALE,"¥1,624","¥1,750","¥3,374","¥10,480","¥9,980","¥8,982",—,—,"¥8,483",P-6,PAIR15,66.2%,"¥6,606","¥6,247",60.2%,"¥4,804",OK
モコ ラウンジチェア,ACTIVE,6,SUMMER_SALE,"¥10,445","¥1,750","¥12,195","¥42,480","¥39,980","¥35,982",—,—,—,—,SummerSale10,69.5%,"¥27,785","¥26,346",66.1%,"¥22,492",OK
