商品名,status,tier,Variant数,CKB原価レンジ,ship_est,推定着地原価レンジ,現価格レンジ,現在倍率,通常価格再設計案,再設計後倍率,0%粗利率,10%OFF粗利率,15%OFF粗利率,限界利益(通常),限界利益(15%OFF),BE_ROAS(通常),BE_ROAS(15%OFF),CPA上限(通常),CPA上限(15%OFF),判定
MORU フラワーラウンジ,ACTIVE,tier-hero,2,"¥1,381","¥1,750","¥3,131","¥9,980",×3.19,"¥9,480",×3.03,68.6%,65.1%,63.1%,"¥6,490","¥5,047",1.54,1.68,"¥4,543","¥3,533",OK
アブストラクト オブジェ,DRAFT,tier-aov,21,原価待ち,¥800,原価待ち,"¥4,980 – ¥58,980",原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち
ガラスフラワー オブジェ,ACTIVE,tier-aov,5,¥431,¥800,"¥1,231","¥3,980",×3.23,"¥3,980",×3.23,69.1%,65.6%,63.6%,"¥2,606","¥2,030",1.53,1.67,"¥1,824","¥1,421",OK
クラウド サイドテーブル,ACTIVE,tier-core,3,¥564,"¥3,500","¥4,064","¥12,480",×3.07,"¥12,480",×3.07,67.4%,63.8%,61.7%,"¥7,967","¥6,162",1.57,1.72,"¥5,577","¥4,313",OK
クリアシェード テーブルランプ,ACTIVE,tier-aov,3,"¥1,949","¥1,750","¥3,699","¥11,480",×3.10,"¥11,480",×3.10,67.8%,64.2%,62.1%,"¥7,368","¥5,708",1.56,1.71,"¥5,157","¥3,995",OK
コイル サイドテーブル,ACTIVE,tier-brand-builder,3,"¥7,521","¥3,500","¥11,021","¥33,480",×3.04,"¥33,480",×3.04,67.1%,63.4%,61.3%,"¥21,254","¥16,413",1.58,1.73,"¥14,878","¥11,489",要検討(15%OFF後 ×2.58)
コーデュロイ フォールディングチェア,ACTIVE,tier-core,5,"¥1,999","¥1,750","¥3,749","¥11,480",×3.06,"¥11,480",×3.06,67.3%,63.7%,61.6%,"¥7,318","¥5,658",1.57,1.72,"¥5,122","¥3,960",OK
ジオメトリック ブックスタンド,ACTIVE,tier-aov,2,"¥1,974 – ¥2,224",¥800,"¥2,774 – ¥3,024","¥8,480 – ¥9,480",×3.06 – ×3.13,"¥8,480 – ¥9,480",×3.06 – ×3.13,67.3% – 68.1%,63.7% – 64.6%,61.5% – 62.5%,"¥5,401 – ¥6,115","¥4,175 – ¥4,744",1.55 – 1.57,1.70 – 1.73,"¥3,781 – ¥4,280","¥2,922 – ¥3,321",要検討(15%OFF後 ×2.60)
ジャカード 中綿付きクッション,ACTIVE,tier-aov,5,¥387,¥800,"¥1,187","¥3,980",×3.35,"¥3,980",×3.35,70.2%,66.9%,64.9%,"¥2,650","¥2,074",1.50,1.63,"¥1,855","¥1,452",OK
セラミック ブックエンド,ACTIVE,tier-aov,4,"¥1,746 – ¥1,996",¥800,"¥2,546 – ¥2,796","¥7,980 – ¥8,480",×3.03 – ×3.13,"¥7,980 – ¥8,480",×3.03 – ×3.13,67.0% – 68.1%,63.4% – 64.6%,61.2% – 62.5%,"¥5,147 – ¥5,379","¥3,993 – ¥4,153",1.55 – 1.58,1.70 – 1.74,"¥3,603 – ¥3,765","¥2,795 – ¥2,907",要検討(15%OFF後 ×2.58)
