商品,variant,分類,ship_bucket,推定着地原価,新通常価格,最悪ケース施策,最悪ケース売価,引当3%_返金引当額,引当3%_粗利率,引当3%_限界利益,引当3%_BE_ROAS,引当3%_CPA上限,引当5%_返金引当額,引当5%_粗利率,引当5%_限界利益,引当5%_BE_ROAS,引当5%_CPA上限,引当8%_返金引当額,引当8%_粗利率,引当8%_限界利益,引当8%_BE_ROAS,引当8%_CPA上限
MORU フラワーラウンジ,アイボリー,SUMMER_SALE,中型,3131,8980,SummerSale10,8082,242,61.3%,4418,1.83,3092,404,61.3%,4256,1.90,2979,647,61.3%,4013,2.01,2809
MORU フラワーラウンジ,オリーブグリーン,SUMMER_SALE,中型,3131,8980,SummerSale10,8082,242,61.3%,4418,1.83,3092,404,61.3%,4256,1.90,2979,647,61.3%,4013,2.01,2809
ガラスフラワー オブジェ,ルビー（7点セット）,MULTI_BUY,小物,1231,3480,MB3点以上,2958,89,58.4%,1532,1.93,1072,148,58.4%,1473,2.01,1031,237,58.4%,1384,2.14,969
ガラスフラワー オブジェ,ブルー（7点セット）,MULTI_BUY,小物,1231,3480,MB3点以上,2958,89,58.4%,1532,1.93,1072,148,58.4%,1473,2.01,1031,237,58.4%,1384,2.14,969
ガラスフラワー オブジェ,ピンク（7点セット）,MULTI_BUY,小物,1231,3480,MB3点以上,2958,89,58.4%,1532,1.93,1072,148,58.4%,1473,2.01,1031,237,58.4%,1384,2.14,969
ガラスフラワー オブジェ,ホワイト（7点セット）,MULTI_BUY,小物,1231,3480,MB3点以上,2958,89,58.4%,1532,1.93,1072,148,58.4%,1473,2.01,1031,237,58.4%,1384,2.14,969
ガラスフラワー オブジェ,アンバー（7点セット）,MULTI_BUY,小物,1231,3480,MB3点以上,2958,89,58.4%,1532,1.93,1072,148,58.4%,1473,2.01,1031,237,58.4%,1384,2.14,969
クラウド サイドテーブル,スターライトブラック（1段）,SUMMER_SALE,大型,4064,11980,PAIR15,10183,305,60.1%,5447,1.87,3813,509,60.1%,5243,1.94,3670,815,60.1%,4938,2.06,3456
クラウド サイドテーブル,ミルキーホワイト（1段）,SUMMER_SALE,大型,4064,11980,PAIR15,10183,305,60.1%,5447,1.87,3813,509,60.1%,5243,1.94,3670,815,60.1%,4938,2.06,3456
クラウド サイドテーブル,ウォールナット（1段）,SUMMER_SALE,大型,4064,11980,PAIR15,10183,305,60.1%,5447,1.87,3813,509,60.1%,5243,1.94,3670,815,60.1%,4938,2.06,3456
クリアシェード テーブルランプ,充電式・無段階調光 / クローム（クリアシェード）,SUMMER_SALE,中型,3699,10980,SummerSale10,9882,296,62.6%,5531,1.79,3872,494,62.6%,5333,1.85,3733,791,62.6%,5037,1.96,3526
クリアシェード テーブルランプ,充電式・無段階調光 / バーガンディ（クリアシェード）,SUMMER_SALE,中型,3699,10980,SummerSale10,9882,296,62.6%,5531,1.79,3872,494,62.6%,5333,1.85,3733,791,62.6%,5037,1.96,3526
クリアシェード テーブルランプ,充電式・無段階調光 / パールブラック（クリアシェード）,SUMMER_SALE,中型,3699,10980,SummerSale10,9882,296,62.6%,5531,1.79,3872,494,62.6%,5333,1.85,3733,791,62.6%,5037,1.96,3526
コイル サイドテーブル,レモンイエロー / 全高45cm（天板径34cm）,SUMMER_SALE,大型,11021,31980,SummerSale10,28782,863,61.7%,15861,1.81,11103,1439,61.7%,15286,1.88,10700,2303,61.7%,14422,2.00,10096
コイル サイドテーブル,トゥルーレッド / 全高45cm（天板径34cm）,SUMMER_SALE,大型,11021,31980,SummerSale10,28782,863,61.7%,15861,1.81,11103,1439,61.7%,15286,1.88,10700,2303,61.7%,14422,2.00,10096
