商品,Product GID,namespace,key,type,value,現在値
ガラスフラワー オブジェ,gid://shopify/Product/10218058285296,custom,multi_buy_eligible,boolean,true,未設定
ジャカード 中綿付きクッション,gid://shopify/Product/10218057892080,custom,multi_buy_eligible,boolean,true,未設定
セラミック ブックエンド,gid://shopify/Product/10218008183024,custom,multi_buy_eligible,boolean,true,未設定
バルーンドッグ オブジェ,gid://shopify/Product/10218009329904,custom,multi_buy_eligible,boolean,true,未設定
パイピング クッション,gid://shopify/Product/10218008969456,custom,multi_buy_eligible,boolean,true,未設定
フェイクファー ブランケット,gid://shopify/Product/10218005397744,custom,multi_buy_eligible,boolean,true,未設定
フラワー フロアクッション,gid://shopify/Product/10218057531632,custom,multi_buy_eligible,boolean,true,未設定
フラワーバッド テーブルランプ,gid://shopify/Product/10218006446320,custom,multi_buy_eligible,boolean,true,未設定
フランネル ブランケット,gid://shopify/Product/10218005364976,custom,multi_buy_eligible,boolean,true,未設定
ベルベット クッション,gid://shopify/Product/10218009133296,custom,multi_buy_eligible,boolean,true,未設定
ミニ アラームクロック,gid://shopify/Product/10218008346864,custom,multi_buy_eligible,boolean,true,未設定
レジン スカルプチャーオブジェ,gid://shopify/Product/10218009166064,custom,multi_buy_eligible,boolean,true,未設定
手編みコースター,gid://shopify/Product/10218057990384,custom,multi_buy_eligible,boolean,true,未設定
