商品,variant,sku,Product GID,Variant GID,status,分類,old_price,new_price
MORU フラワーラウンジ,アイボリー,f89ed6c7183ca65547d2c2561819369f,gid://shopify/Product/10214219743472,gid://shopify/ProductVariant/50279721730288,ACTIVE,SUMMER_SALE,9980,8980
MORU フラワーラウンジ,オリーブグリーン,476e297375c500bb15ef0aef7f8abb53,gid://shopify/Product/10214219743472,gid://shopify/ProductVariant/50279721763056,ACTIVE,SUMMER_SALE,9980,8980
ガラスフラワー オブジェ,ルビー（7点セット）,29d7e8cbcebfab5af9efca0ec2f23682,gid://shopify/Product/10218058285296,gid://shopify/ProductVariant/50296393662704,ACTIVE,MULTI_BUY,3980,3480
ガラスフラワー オブジェ,ブルー（7点セット）,7b370f9a7f74641e87773b8735868386,gid://shopify/Product/10218058285296,gid://shopify/ProductVariant/50296393695472,ACTIVE,MULTI_BUY,3980,3480
ガラスフラワー オブジェ,ピンク（7点セット）,7f19f1a9b72ba25c4af03320b63d2075,gid://shopify/Product/10218058285296,gid://shopify/ProductVariant/50296393728240,ACTIVE,MULTI_BUY,3980,3480
ガラスフラワー オブジェ,ホワイト（7点セット）,4e3ef97bd8e412402af2f47ab63a30e1,gid://shopify/Product/10218058285296,gid://shopify/ProductVariant/50296393826544,ACTIVE,MULTI_BUY,3980,3480
ガラスフラワー オブジェ,アンバー（7点セット）,dab3482fc0695768b2496f0f97c5e4ce,gid://shopify/Product/10218058285296,gid://shopify/ProductVariant/50296393924848,ACTIVE,MULTI_BUY,3980,3480
クラウド サイドテーブル,スターライトブラック（1段）,05570b9a124d02f2d3769d087d12019a,gid://shopify/Product/10218006315248,gid://shopify/ProductVariant/50296062673136,ACTIVE,SUMMER_SALE,12480,11980
クラウド サイドテーブル,ミルキーホワイト（1段）,5b71a3dc3109a5c3443b343e30aaeb76,gid://shopify/Product/10218006315248,gid://shopify/ProductVariant/50296062705904,ACTIVE,SUMMER_SALE,12480,11980
クラウド サイドテーブル,ウォールナット（1段）,dc56669e522c1955922bcd9dff5572be,gid://shopify/Product/10218006315248,gid://shopify/ProductVariant/50296062738672,ACTIVE,SUMMER_SALE,12480,11980
クリアシェード テーブルランプ,充電式・無段階調光 / クローム（クリアシェード）,9c4ed89e3487f9ce5f4c97186b090232,gid://shopify/Product/10218006348016,gid://shopify/ProductVariant/50296062869744,ACTIVE,SUMMER_SALE,11480,10980
クリアシェード テーブルランプ,充電式・無段階調光 / バーガンディ（クリアシェード）,b809bb70178d3b8681fed393f957dc98,gid://shopify/Product/10218006348016,gid://shopify/ProductVariant/50296062902512,ACTIVE,SUMMER_SALE,11480,10980
クリアシェード テーブルランプ,充電式・無段階調光 / パールブラック（クリアシェード）,baed95876fcacec127ef858731c7dc04,gid://shopify/Product/10218006348016,gid://shopify/ProductVariant/50296062935280,ACTIVE,SUMMER_SALE,11480,10980
コイル サイドテーブル,レモンイエロー / 全高45cm（天板径34cm）,ab07dcd0e56eb7ee717e2da9a3ac402d,gid://shopify/Product/10218058318064,gid://shopify/ProductVariant/50296394121456,ACTIVE,SUMMER_SALE,33480,31980
コイル サイドテーブル,トゥルーレッド / 全高45cm（天板径34cm）,8c1b2d9a7e72c188d438d40ddf490f56,gid://shopify/Product/10218058318064,gid://shopify/ProductVariant/50296394154224,ACTIVE,SUMMER_SALE,33480,31980
コイル サイドテーブル,グリーン / 全高45cm（天板径34cm）,3455466daef0d9268b82871cbe8c210c,gid://shopify/Product/10218058318064,gid://shopify/ProductVariant/50296394186992,ACTIVE,SUMMER_SALE,33480,31980
コーデュロイ フォールディングチェア,ブラウン,cfba35e8e118f16f83ff476952758d2b,gid://shopify/Product/10218008084720,gid://shopify/ProductVariant/50296079712496,ACTIVE,SUMMER_SALE,11480,10980
コーデュロイ フォールディングチェア,ピーコックブルー,b2e07986192be22f0732e2deb26a4121,gid://shopify/Product/10218008084720,gid://shopify/ProductVariant/50296079745264,ACTIVE,SUMMER_SALE,11480,10980
